中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,770 Mbps,98611 kB/s,98611.0
35.197.23.75,443,35.212.140.104,US,Seattle,隧道,51 ms,560 Mbps,71782 kB/s,71782.0
34.82.76.253,443,34.182.31.213,US,Seattle,隧道,54 ms,536 Mbps,68608 kB/s,68608.0
35.230.79.26,443,35.212.140.104,US,Seattle,隧道,49 ms,518 Mbps,66355 kB/s,66355.0
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,64 ms,485 Mbps,62156 kB/s,62156.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,60 ms,468 Mbps,60006 kB/s,60006.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,416 Mbps,53350 kB/s,53350.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,312 Mbps,39936 kB/s,39936.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,307 Mbps,39321 kB/s,39321.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,111 ms,240 Mbps,30720 kB/s,30720.0
141.144.201.185,443,163.123.193.10,DE,Frankfurt,隧道,110 ms,221 Mbps,28364 kB/s,28364.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,134 ms,206 Mbps,26419 kB/s,26419.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,114 ms,205 Mbps,26316 kB/s,26316.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,148 ms,166 Mbps,21299 kB/s,21299.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,149 ms,147 Mbps,18841 kB/s,18841.0
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,198 ms,67 Mbps,8591 kB/s,8591.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,106 ms,49 Mbps,6353 kB/s,6353.0
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,115 ms,47 Mbps,6075 kB/s,6075.0
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,159 ms,45 Mbps,5808 kB/s,5808.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,150 ms,43 Mbps,5530 kB/s,5530.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,225 ms,42 Mbps,5477 kB/s,5477.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,194 ms,42 Mbps,5443 kB/s,5443.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,113 ms,41 Mbps,5322 kB/s,5322.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,161 ms,41 Mbps,5265 kB/s,5265.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,196 ms,32 Mbps,4108 kB/s,4108.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,211 ms,31 Mbps,4067 kB/s,4067.0
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,210 ms,11 Mbps,1483 kB/s,1483.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,6 Mbps,890 kB/s,890.0
